uav_id,x,y,z,bs_id,subcarrier,csi_real,csi_imag
0,0.0,0.0,100,0,0,0.018289806581824365,-0.002478371940928879
0,0.0,0.0,100,0,1,-0.01180475217811993,-5.701796046830152e-05
0,0.0,0.0,100,0,2,-0.006406306876923214,-0.011804657751221316
0,0.0,0.0,100,0,3,0.004844419078753804,-0.0015956199671403465
0,0.0,0.0,100,0,4,0.003995286043199431,0.00864787299071808
0,0.0,0.0,100,0,5,0.0036058161984891504,0.006469451182098634
0,0.0,0.0,100,0,6,-0.008718655106490376,-0.01160502571907441
0,0.0,0.0,100,0,7,0.005541018322504607,0.0015626813308697047
0,0.0,0.0,100,0,8,0.0027891328792510116,-0.00017835250887306598
0,0.0,0.0,100,0,9,0.008346357222162629,0.002622661792900004
0,0.0,0.0,100,0,10,0.003161166519696997,-0.002521411637619765
0,0.0,0.0,100,0,11,-0.01223180587533793,0.014753114308678707
0,0.0,0.0,100,0,12,-0.016871398530159006,0.0019802368245210897
0,0.0,0.0,100,0,13,0.0036231459228694197,-0.006312658904952711
0,0.0,0.0,100,0,14,0.00907646643278711,-0.017383103061351893
0,0.0,0.0,100,0,15,0.0016687117942066777,0.01766720461245585
0,0.0,0.0,100,0,16,-0.01607813430647712,-0.0220362994823265
0,0.0,0.0,100,0,17,-0.00811059511479356,0.008579673730756363
0,0.0,0.0,100,0,18,0.008722672870680521,0.012045491727122722
0,0.0,0.0,100,0,19,-0.0015352339652858554,0.014044370086154119
0,0.0,0.0,100,0,20,0.00037610519218175337,-0.0013827522495687508
0,0.0,0.0,100,0,21,-0.010533633067244948,-0.005141018875973764
0,0.0,0.0,100,0,22,-0.008360648392841686,-0.003421628917023713
0,0.0,0.0,100,0,23,-0.003996677818577696,-0.00815699649699334
0,0.0,0.0,100,0,24,0.0022171189591960873,-0.00909464554111062
0,0.0,0.0,100,0,25,-0.0026616017945252464,-0.005190007309780198
0,0.0,0.0,100,0,26,-0.00430388005883083,0.01066801835413774
0,0.0,0.0,100,0,27,0.009194827773817693,0.012676596468330385
0,0.0,0.0,100,0,28,0.0016969626605153913,-0.008186304054333484
0,0.0,0.0,100,0,29,-0.011119669935055525,-0.0022735501230473063
0,0.0,0.0,100,0,30,-0.008722745534636244,-0.0009200687169133655
0,0.0,0.0,100,0,31,0.0039050601850008668,0.010452499783534264
0,0.0,0.0,100,0,32,0.004927593081165798,-0.0015973862383349632
0,0.0,0.0,100,0,33,0.013889541138706711,-0.005954461190782991
0,0.0,0.0,100,0,34,-0.0034982136512094835,-0.012973205712918805
0,0.0,0.0,100,0,35,-0.0065023503905221915,0.002207273632079024
0,0.0,0.0,100,0,36,-0.002512005636363144,0.01797682581277064
0,0.0,0.0,100,0,37,0.011847952904533911,-0.0340178961061194
0,0.0,0.0,100,0,38,-0.008898955669235356,-0.000928976922516913
0,0.0,0.0,100,0,39,0.010515043193906932,0.0035019099666391195
0,0.0,0.0,100,0,40,-0.0067946125949640635,-0.002904238119222382
0,0.0,0.0,100,0,41,-0.0098894720116043,0.001469999503599804
0,0.0,0.0,100,0,42,0.012126514180623838,0.00807779847457281
0,0.0,0.0,100,0,43,0.020251552825123476,-0.0059465794155006265
0,0.0,0.0,100,0,44,-0.02144599347993569,-0.006920629723202152
0,0.0,0.0,100,0,45,0.007980025163504625,-0.005569524664159439
0,0.0,0.0,100,0,46,0.009693951229883764,-0.009426923136504898
0,0.0,0.0,100,0,47,-0.004771054104516035,-0.0032547449367238026
0,0.0,0.0,100,0,48,0.024426759104222977,-0.022696900623798533
0,0.0,0.0,100,0,49,0.022423508506493457,-0.00012526089715936316
0,0.0,0.0,100,0,50,-0.0007106375836785521,0.014547682512320267
0,0.0,0.0,100,0,51,0.013774620279588173,0.002757940144317381
0,0.0,0.0,100,0,52,0.004741873886050819,-0.009891310638408207
0,0.0,0.0,100,0,53,-0.010764248957888512,0.01092116053397271
0,0.0,0.0,100,0,54,-0.00018244124200914857,-0.0055939051882419434
0,0.0,0.0,100,0,55,-0.005596175030165136,0.004092862039976661
0,0.0,0.0,100,0,56,0.005567828736397636,0.01064202395121776
0,0.0,0.0,100,0,57,0.005277182986271033,-0.008357404869343197
0,0.0,0.0,100,0,58,0.01409121506868284,-0.004078132837642871
0,0.0,0.0,100,0,59,-0.010368473358213299,-0.0014165645772633
0,0.0,0.0,100,0,60,0.009141299730455176,0.010070299922061227
0,0.0,0.0,100,0,61,-0.022293565970238405,-0.0019687570000215017
0,0.0,0.0,100,0,62,0.0014953863745908876,-0.0017852686262950826
